"val","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","p13","p14","p15","p16","p17","p18","p19","p20"
8.96821086108685,"G3N680","G3N8X9","G3NBM8","G3NCL3","G3NGT4","G3NI60","G3NNM8","G3NNT7","G3NX96","G3NXW0","G3P1D2","G3PCK3","G3PH93","G3PIX9","G3PNK3","G3PPP6","G3Q2D6","G3Q972","G3QC15","Q804E3"
8.96814043074846,"G3N680","G3N8Q3","G3NBM8","G3NCL3","G3NGT4","G3NI60","G3NNM8","G3NRG5","G3NX96","G3NXW0","G3P1D2","G3PCK3","G3PIX9","G3PNK3","G3PPP6","G3PYU1","G3Q2D6","G3Q972","G3QC15","Q804E3"
8.96553323790431,"G3N680","G3NCL3","G3NGT4","G3NMF2","G3NNM8","G3NNT7","G3NRG5","G3NX96","G3NXW0","G3NY15","G3NY67","G3P1D2","G3PCK3","G3PNK3","G3PPP6","G3Q2Y3","G3Q3C4","G3Q3Z6","G3QC15","Q804E3"
8.96539123728871,"G3N680","G3N8X9","G3NCL3","G3NGT4","G3NI60","G3NMF2","G3NNM8","G3NNT7","G3NRG5","G3NX96","G3NXW0","G3NY67","G3PCK3","G3PIX9","G3PNK3","G3PPP6","G3PYU1","G3Q3C4","G3QC15","Q804E3"
8.96462470293045,"G3N680","G3N8X9","G3NBM8","G3NCL3","G3NGT4","G3NI60","G3NNM8","G3NNT7","G3NX96","G3NXW0","G3P1D2","G3PCK3","G3PH93","G3PIX9","G3PNK3","G3PPP6","G3PZK8","G3Q2D6","G3Q972","Q804E3"
8.96411909908056,"G3N8X9","G3NBM8","G3NGT4","G3NI60","G3NNM8","G3NNT7","G3NX96","G3NXW0","G3NZH1","G3P1D2","G3PCK3","G3PIX9","G3PNK3","G3PPP6","G3PYU1","G3PZH5","G3PZK8","G3Q2D6","G3Q972","Q804E3"
8.96387618780136,"G3NCL3","G3NGT4","G3NI60","G3NNM8","G3NNT7","G3NRG5","G3NX96","G3NY67","G3P1D2","G3PCK3","G3PIX9","G3PNK3","G3PPP6","G3PQL2","G3Q2D6","G3Q3A5","G3Q3C4","G3Q972","G3QC15","Q804E3"
8.96372945979238,"G3N680","G3NCL3","G3NGT4","G3NI60","G3NMF2","G3NNM8","G3NRG5","G3NX96","G3NXW0","G3NY67","G3PCK3","G3PIX9","G3PNK3","G3PPP6","G3PVK9","G3PYU1","G3Q3A5","G3Q3C4","G3QC15","Q804E3"
8.96309964358807,"G3N680","G3NBM8","G3NCL3","G3NGT4","G3NNM8","G3NNT7","G3NRG5","G3NX96","G3NXW0","G3NY15","G3P1D2","G3PCK3","G3PH93","G3PNK3","G3PPP6","G3Q2D6","G3Q2Y3","G3Q972","G3QC15","Q804E3"
8.96305610239506,"G3NCL3","G3NGT4","G3NNM8","G3NNT7","G3NRG5","G3NX96","G3NY15","G3P1D2","G3PCK3","G3PIX9","G3PPP6","G3PPP7","G3PQL2","G3Q2D6","G3Q2Y3","G3Q3A5","G3Q3C4","G3Q972","G3QC15","Q804E3"
8.96282510831952,"G3N680","G3NCL3","G3NGT4","G3NMF2","G3NNM8","G3NNT7","G3NPA2","G3NX96","G3NY15","G3NY67","G3P1D2","G3PCK3","G3PIX9","G3PNK3","G3PPP6","G3PYU1","G3Q3A5","G3Q3C4","G3QC15","Q804E3"
8.96236523613334,"G3NCL3","G3NGT4","G3NIW2","G3NMF2","G3NNM8","G3NNT7","G3NPA2","G3NX96","G3NY15","G3NY67","G3P1D2","G3PCK3","G3PIX9","G3PNK3","G3PPP6","G3PYU1","G3Q2Y3","G3Q3C4","G3QAJ2","G3QC15"
8.96157719939947,"G3N680","G3NCL3","G3NGT4","G3NNM8","G3NNT7","G3NRG5","G3NX96","G3NXW0","G3NY15","G3P1D2","G3PCK3","G3PIX9","G3PPP6","G3PZH5","G3Q2D6","G3Q3A5","G3Q3C4","G3Q972","G3QC15","Q804E3"
8.96120332181454,"G3NCL3","G3NGT4","G3NI60","G3NNM8","G3NRG5","G3NX96","G3NXW0","G3P1D2","G3PCK3","G3PIX9","G3PNK3","G3PPP6","G3PQL2","G3PYU1","G3Q2D6","G3Q3A5","G3Q3C4","G3Q972","G3QC15","Q804E3"
8.9610306546092,"G3N680","G3NCL3","G3NNM8","G3NNT7","G3NRG5","G3NX96","G3NY15","G3P1D2","G3PIX9","G3PPP6","G3PPP7","G3PQL2","G3PYU1","G3Q2D6","G3Q2Y3","G3Q3A5","G3Q3C4","G3Q972","G3QC15","Q804E3"
8.96102585271001,"G3N680","G3NCL3","G3NGT4","G3NMF2","G3NNM8","G3NNT7","G3NRG5","G3NX96","G3NY15","G3NY67","G3P1D2","G3PCK3","G3PIX9","G3PNK3","G3PPP6","G3PYU1","G3Q3A5","G3Q3C4","G3QC15","Q804E3"
