val,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
2.437399759888649,2,3,16,17,19,20,21,22,26,31,34,36,39,42,51,59,70,74,83,94
2.4365870654582977,2,3,17,20,21,26,28,29,32,37,39,46,51,69,70,74,80,83,86,90
2.436521276831627,2,3,11,19,20,21,22,26,28,29,32,35,36,46,51,69,70,74,80,85
2.436109319329262,2,13,17,18,19,20,21,22,26,29,34,42,46,51,63,66,70,74,80,94
2.4353411495685577,2,13,17,20,21,22,26,29,34,36,41,46,51,70,74,80,84,85,90,94
2.4346288442611694,2,13,17,20,21,22,24,26,29,36,46,51,69,70,74,80,84,85,90,94
2.434616044163704,2,3,11,13,17,19,20,21,26,28,32,35,36,37,51,69,70,74,80,85
2.433221235871315,2,12,17,19,20,21,26,29,34,35,46,51,66,69,70,74,80,83,90,94
2.4330548346042633,2,3,11,13,17,20,21,22,26,29,42,51,59,70,74,81,85,89,90,94
2.432525932788849,2,3,11,13,16,17,20,21,22,26,29,36,42,49,51,66,70,72,74,80
2.43219056725502,3,13,14,16,17,22,29,37,40,41,42,51,62,67,74,81,85,94,96,98
2.4320906698703766,2,3,16,17,19,20,21,22,26,29,31,36,39,42,51,57,59,70,74,94
2.431429371237755,2,12,13,17,18,19,20,21,22,23,29,34,36,46,51,63,70,74,80,94
2.430966392159462,2,3,6,16,17,19,20,21,22,36,39,41,42,44,51,59,70,81,94,95
2.4307566583156586,2,3,11,13,16,17,20,21,22,26,29,36,51,59,70,74,80,85,90,94
2.4305630028247833,2,13,17,19,20,21,22,29,41,42,46,51,59,70,74,80,81,85,90,94
2.430350601673126,3,13,14,16,17,22,29,40,41,42,51,62,67,74,77,81,83,94,96,98
2.430016443133354,2,3,11,13,17,19,20,21,23,26,29,31,35,51,70,74,81,85,86,87
2.429413914680481,3,12,13,14,16,17,29,40,41,42,48,51,54,62,67,74,81,94,96,98
2.429334044456482,2,3,13,14,17,22,29,40,41,42,45,51,59,81,83,85,90,94,96,98
2.4291535317897797,2,3,11,13,16,17,20,21,22,26,29,36,37,51,59,70,74,80,90,94
2.4284497797489166,2,13,17,18,19,20,21,22,26,29,34,42,46,51,63,70,74,80,83,94
2.428433656692505,2,3,11,16,17,20,21,22,26,29,35,37,51,66,70,74,78,80,85,86
2.4282345175743103,2,3,11,13,16,17,20,21,26,29,32,36,37,51,69,70,74,80,86,94
